id;titulo;endereco;taxa;Area;quartos;suites;banheiros;vagas;preco;;;;;
57278892;Apartamento com 4 Quartos à Venda, 221m²;Candelária, Natal - RN;R$ 690;221;4;4;1;3;R$ 690.000;;;;;
57278901;Casa com 4 Quartos à Venda, 298m²;Ponta Negra, Natal - RN;;298;4;4;2;4;R$ 1.790.000;;;;;
57278902;Apartamento com 3 Quartos à Venda, 70m²;Lagoa Nova, Natal - RN;;70;3;1;1;2;R$ 299.000;;;;;
57278915;Apartamento com 3 Quartos à Venda, 118m²;Petrópolis, Natal - RN;R$ 625,118;3;3;1;2;R$ 510.000;;;;;;
57278917;Apartamento com 2 Quartos à Venda, 112m²;Ponta Negra, Natal - RN;R$ 1.385,112;2;2;1;2;R$ 500.000;;;;;;
57278926;Casa com 4 Quartos à Venda, 260m²;Capim Macio, Natal - RN;;260;4;4;1;3;R$ 550.000;;;;;
57278937;Apartamento com 4 Quartos à Venda, 232m²;Lagoa Nova, Natal - RN;R$ 1.100;232;4;4;1;3;R$ 940.000;;;;;
57278940;Imóvel comercial com  Quarto à Venda, 378m²;Neópolis, Natal - RN;;378;1,--;2;10;R$ 900.000;;;;;;
57278942;Apartamento com 2 Quartos à Venda, 56m²;Neópolis, Natal - RN;R$ 300;56;2;1;1;1;R$ 340.000;;;;;
57278945;Imóvel comercial com  Quarto à Venda, 256m²;Areia Preta, Natal - RN;;256;1;--;3,--;R$ 1.500.000;;;;;;
57278962;Casa com 3 Quartos à Venda, 329m²;Ponta Negra, Natal - RN;;329;3;1;1;8;R$ 1.600.000;;;;;
57462682;Apartamento com 2 Quartos à Venda, 51m²;Rua Cedrorama - Pitimbu, Natal - RN;;51;2;--;1;1;R$ 145.000;;;;;
57465995;Apartamento com 4 Quartos à Venda, 270m²;Ponta Negra, Natal - RN;R$ 1.450;270;4;4;6;4;R$ 990.000;;;;;
57466010;Apartamento com 3 Quartos à Venda, 101m²;Areia Preta, Natal - RN;R$ 500;101;3;1;3;2;R$ 250.000;;;;;
57466018;Apartamento com 2 Quartos à Venda, 53m²;Ponta Negra, Natal - RN;R$ 315;53;2;1;2;1;R$ 239.000;;;;;
57466052;Apartamento com 3 Quartos à Venda, 103m²;Candelária, Natal - RN;R$ 530;103;3;3;5;2;R$ 410.000;;;;;
57466081;Apartamento com 3 Quartos à Venda, 99m²;Lagoa Nova, Natal - RN;R$ 500;99;3;2;3;2;R$ 551.070;;;;;
57466091;Apartamento com 3 Quartos à Venda, 103m²;Lagoa Nova, Natal - RN;R$ 1,103;3;3;5;2;R$ 633.245;;;;;;
57466108;Apartamento com 3 Quartos à Venda, 71m²;Lagoa Nova, Natal - RN;R$ 320;71;3;1;2;1;R$ 283.930;;;;;
57466118;Apartamento com 2 Quartos à Venda, 86m²;Petrópolis, Natal - RN;R$ 725;86;2;1;2;1;R$ 250.000;;;;;
57466199;Apartamento com 3 Quartos à Venda, 176m²;Lagoa Nova, Natal - RN;R$ 1.600;176;3;3;5;3;R$ 630.000;;;;;
57466204;Casa com 3 Quartos à Venda, 291m²;Capim Macio, Natal - RN;;291;3;3;5;3;R$ 620.000;;;;;
57466226;Apartamento com 3 Quartos à Venda, 130m²;Lagoa Nova, Natal - RN;R$ 1,130;3;3;5;3;R$ 726.232;;;;;;
57466236;Apartamento com 3 Quartos à Venda, 101m²;Ponta Negra, Natal - RN;R$ 600;101;3;3;4;2;R$ 420.000;;;;;
57466253;Apartamento com 4 Quartos à Venda, 235m²;Candelária, Natal - RN;R$ 1.100;235;4;4;5;3;R$ 1.050.000;;;;;
57466266;Apartamento com 3 Quartos à Venda, 79m²;Ponta Negra, Natal - RN;R$ 1,79;3;1;2;2;R$ 490.978;;;;;;
57466273;Apartamento com 3 Quartos à Venda, 75m²;Ribeira, Natal - RN;R$ 320;75;3;1;2;2;R$ 268.000;;;;;
57466282;Apartamento com 3 Quartos à Venda, 126m²;Candelária, Natal - RN;R$ 776,126;3;3;5;3;R$ 650.000;;;;;;
57466283;Apartamento com 4 Quartos à Venda, 164m²;Petrópolis, Natal - RN;R$ 1.200;164;4;4;6;3;R$ 1.195.000;;;;;
57466295;Apartamento com 3 Quartos à Venda, 137m²;Lagoa Nova, Natal - RN;R$ 1,137;3;3;5;3;R$ 956.563;;;;;;
57466297;Apartamento com 2 Quartos à Venda, 65m²;Petrópolis, Natal - RN;R$ 600;65;2;--;1;1;R$ 230.000;;;;;
57466312;Apartamento com 3 Quartos à Venda, 116m²;Lagoa Nova, Natal - RN;R$ 550;116;3;3;5;2;R$ 600.000;;;;;
57466314;Casa com 5 Quartos à Venda, 450m²;Lagoa Nova, Natal - RN;;450;5;5;6;4;R$ 1.500.000;;;;;
57466323;Apartamento com 3 Quartos à Venda, 74m²;Cidade Alta, Natal - RN;R$ 440;74;3;1;3;2;R$ 279.000;;;;;
57466324;Apartamento com 4 Quartos à Venda, 280m²;Areia Preta, Natal - RN;R$ 1;280;4;4;6;4;R$ 1.782.750;;;;;
57466341;Casa com 3 Quartos à Venda, 81m²;Pitimbu, Natal - RN;;81;3;1;2;4;R$ 300.000;;;;;
57466350;Sala/Conjunto    à Venda, 74m²;Lagoa Nova, Natal - RN;;74,--;--;--;--;R$ 344.400;;;;;;
